Identificação;Equipamento
AI-MEI-937; FURADEIRA HP2070
AI-MEI-ANDAIME;16 PEÇAS ANDAIME 100X1.50
AI-MEI-5895;AGULHEIRO SGT SIGMA 
AI-MEI-3134;BETONEIRA
AI-MEI-3037;BETONEIRA 400L
AI-MEI-2971;BETONEIRA 400L CINZA
AI-MEI-1031;BETONEIRA AMARELA 400L STARK
AI-MEI-3338;BETONEIRA CINZA CSM
AI-MEI-3038;BETONEIRA CSM 
AI-MEI-2973;BETONEIRA CSM 400L CINZA
AI-MEI-1029;BETONEIRA CSM BET 400L
AI-MEI-2974;BETONEIRA CSM BET 400L
AI-MEI-3132;BETONEIRA CSM BET 400L
AI-MEI-PX03;BOMBA 03 1/2CV
AI-MEI-PX04;BOMBA 04 1/2CV
AI-MEI-PX16;BOMBA 1.5CV
AI-MEI-PX20;BOMBA 1CV
AI-MEI-PX15;BOMBA 1CV 
AI-MEI-PX02;BOMBA 1CV (VERDE)
AI-MEI-PX07;BOMBA 1CV MCS-NX
AI-MEI-PX05;BOMBA 3CV
AI-MEI-PX-13;BOMBA 3CV 
AI-MEI-PX08;BOMBA 3CV MONOFASICA
AI-MEI-PX06;BOMBA AUTOASPIRANTE 3CV
AI-MEI-PX21;BOMBA CENTRIFUGA
AI-MEI-PX18;BOMBA CENTRIFUGA 0.5CV
AI-MEI-PX14;BOMBA CENTRIFUGA 1,5CV
AI-MEI-PX22;BOMBA CENTRIFUGA 1CV
AI-MEI-PX11;BOMBA CENTRIFUGA 1CV ACM75
AI-MEI-PX24;BOMBA CENTRIFUGA 1CV LEPONO
AI-MEI-PX19;BOMBA CENTRIFUGA 2CV TRIFASICA
AI-MEI-PX09;BOMBA INJETORA 1CV
AI-MEI-PX17;BOMBA MONOFASICA 1.5CV
AI-MEI-PX26;BOMBA SAPO
AI-MEI-PX10;BOMBA SUBMERSIVEL
AI-MEI-PX12;BOMBA SUBMERSIVEL 3CV WQ25
AI-MEI-CARREG;CARREGADOR BATERIA MAKITA BIVOLT
AI-MEI-5880;CARRINHO DE MÃO
AI-MEI-818;COMPACTADOR SAPINHO
AI-MEI-634;COMPACTADOR SAPINHO SRV620
AI-MEI-;COMPRESSOR CSV 10/110L PRO 220V SCHULZ
AI-MEI-5898;CORTADOR DE METAL LW1400
AI-MEI-5818;DESENTUPIDORA FPF 50
AI-MEI-5820;DESENTUPIDORA FPF 50
AI-MEI-5896;DETECTOR D-TECT 120
AI-MEI-2963;ESCADA ARTICULADA
AI-MEI-5703;ESCADA ARTICULADA
AI-MEI-2238;ESMERILHADEIRA
AI-MEI-2343;ESMERILHADEIRA 4' 9557HNG
AI-MEI-2206;ESMERILHADEIRA 4' DEWALT 4120-B2
AI-MEI-2110;ESMERILHADEIRA 4' GA4530
AI-MEI-2215;ESMERILHADEIRA 4' GA4530
AI-MEI-2228;ESMERILHADEIRA 4' GA4530
